TestGroup,Test,LowerLimit,UpperLimit,DeltaLimit,TestNumber
RX_B1_PRX,IQ_Gain,-3.145,3.308,0.3,1001
RX_B1_PRX,IQ_NF,-5.408,2.955,0.5,1013
RX_B1_PRX,IQ_TX_IIP2,-12,12,3,1015
RX_B1_PRX,IQ_IIP3,-2.701,4.262,2.5,1017
RX_B1_PRX,IQ_IIP2,-17.001,-0.865,3,1019
RX_B1_PRX,IQ_Gain_DLPM,-2.969,3.477,0.3,1031
RX_B1_PRX,IQ_NF_DLPM,-5.031,3.269,0.5,1033
RX_B1_PRX,InputPowerLoss,-0.321,3.892,0.3,
RX_B1_DRX,IQ_Gain,-3.33,3.319,0.3,1007
RX_B1_DRX,IQ_NF,-2.485,6.187,0.5,1014
RX_B1_DRX,IQ_TX_IIP2,-12,13.5,3,1016
RX_B1_DRX,IQ_IIP3,-0.13,5.846,2.5,1018
RX_B1_DRX,IQ_IIP2,-16.384,-1.853,3,1020
RX_B1_DRX,IQ_Gain_DLPM,-3.888,2.739,0.3,1032
RX_B1_DRX,IQ_NF_DLPM,-2.761,6.044,0.5,1034
RX_B1_DRX,InputPowerLoss,4.827,9.126,0.3,
RX_B2_PRX,IQ_Gain,-2.981,3.333,0.3,1101
RX_B2_PRX,IQ_NF,-1.829,6.485,0.5,1113
RX_B2_PRX,IQ_TX_IIP2,-14,10,3,1115
RX_B2_PRX,IQ_IIP3,-7.103,-0.633,2.5,1117
RX_B2_PRX,IQ_IIP2,-16.759,-1.257,3,1119
RX_B2_PRX,IQ_Gain_DLPM,-3.303,3.018,0.3,1131
RX_B2_PRX,IQ_NF_DLPM,-1.992,6.443,0.5,1133
RX_B2_PRX,InputPowerLoss,3.934,8.275,0.3,
RX_B2_DRX,IQ_Gain,-3.052,3.165,0.3,1107
RX_B2_DRX,IQ_NF,-2.18,6.548,0.5,1114
RX_B2_DRX,IQ_TX_IIP2,-10,14,3,1116
RX_B2_DRX,IQ_IIP3,-6.311,1.742,2.5,1118
RX_B2_DRX,IQ_IIP2,-21.311,-5.758,3,1120
RX_B2_DRX,IQ_Gain_DLPM,-2.954,3.274,0.3,1132
RX_B2_DRX,IQ_NF_DLPM,-2.403,6.112,0.5,1134
RX_B2_DRX,InputPowerLoss,4.276,8.362,0.3,
RX_B3_PRX,IQ_Gain,-3.113,3.25,0.3,1201
RX_B3_PRX,IQ_NF,-5.013,3.446,0.5,1213
RX_B3_PRX,IQ_TX_IIP2,-12,12,3,1215
RX_B3_PRX,IQ_IIP3,-2.063,4.986,2.5,1217
RX_B3_PRX,IQ_IIP2,-18.131,-3.002,3,1219
RX_B3_PRX,IQ_Gain_DLPM,-3.079,3.252,0.3,1231
RX_B3_PRX,IQ_NF_DLPM,-5,3.312,0.5,1233
RX_B3_PRX,InputPowerLoss,-0.026,4.212,0.3,
RX_B3_DRX,IQ_Gain,-3.358,3.019,0.3,1207
RX_B3_DRX,IQ_NF,-2.449,5.858,0.5,1214
RX_B3_DRX,IQ_TX_IIP2,-12,12,3,1216
RX_B3_DRX,IQ_IIP3,-2.076,5.111,2.5,1218
RX_B3_DRX,IQ_IIP2,3.272,17.808,3,1220
RX_B3_DRX,IQ_Gain_DLPM,-3.331,3.03,0.3,1232
RX_B3_DRX,IQ_NF_DLPM,-2.553,5.978,0.5,1234
RX_B3_DRX,InputPowerLoss,4.128,8.21,0.3,
RX_B4_PRX,IQ_Gain,-3.345,3.087,0.3,1301
RX_B4_PRX,IQ_NF,-5.227,3.14,0.5,1313
RX_B4_PRX,IQ_TX_IIP2,-12,12,3,1315
RX_B4_PRX,IQ_IIP3,-2.198,4.529,2.5,1317
RX_B4_PRX,IQ_IIP2,-13.742,2.716,3,1319
RX_B4_PRX,IQ_Gain_DLPM,-3.342,3.094,0.3,1331
RX_B4_PRX,IQ_NF_DLPM,-5.541,3.043,0.5,1333
RX_B4_PRX,InputPowerLoss,0.671,5.046,0.3,
RX_B4_DRX,IQ_Gain,-4.474,2.16,0.3,1307
RX_B4_DRX,IQ_NF,-3.032,5.569,0.5,1314
RX_B4_DRX,IQ_TX_IIP2,-12,12,3,1316
RX_B4_DRX,IQ_IIP3,-6.954,0.921,2.5,1318
RX_B4_DRX,IQ_IIP2,-14.373,2.28,3,1320
RX_B4_DRX,IQ_Gain_DLPM,-2.737,3.88,0.3,1332
RX_B4_DRX,IQ_NF_DLPM,-3.651,5.116,0.5,1334
RX_B4_DRX,InputPowerLoss,3.655,7.97,0.3,
RX_B7_PRX,IQ_Gain,-3.241,3.153,0.3,1401
RX_B7_PRX,IQ_NF,-3.174,5.264,0.5,1413
RX_B7_PRX,IQ_TX_IIP2,-12,14,3,1415
RX_B7_PRX,IQ_IIP3,-2.708,3.272,2.5,1417
RX_B7_PRX,IQ_IIP2,-4.965,9.808,3,1419
RX_B7_PRX,IQ_Gain_DLPM,-3.067,3.321,0.3,1431
RX_B7_PRX,IQ_NF_DLPM,-3.197,5.224,0.5,1433
RX_B7_PRX,InputPowerLoss,5.438,9.604,0.3,
RX_B7_DRX,IQ_Gain,-3.12,3.251,0.3,1407
RX_B7_DRX,IQ_NF,-2.875,5.625,0.5,1414
RX_B7_DRX,IQ_TX_IIP2,-12,12,3,1416
RX_B7_DRX,IQ_IIP3,2.578,8.454,2.5,1418
RX_B7_DRX,IQ_IIP2,-10.956,5.927,3,1420
RX_B7_DRX,IQ_Gain_DLPM,-3.551,2.821,0.3,1432
RX_B7_DRX,IQ_NF_DLPM,-2.955,5.634,0.5,1434
RX_B7_DRX,InputPowerLoss,5.19,9.714,0.3,
RX_B8_PRX,IQ_Gain,-2.968,3.191,0.3,
RX_B8_PRX,IQ_NF,-4.953,3.262,0.5,
RX_B8_PRX,IQ_TX_IIP2,-12,12,3,
RX_B8_PRX,IQ_IIP3,-8.058,-1.096,2.5,
RX_B8_PRX,IQ_IIP2,-17.611,-1.372,3,
RX_B8_PRX,IQ_Gain_DLPM,-3.334,2.843,0.3,
RX_B8_PRX,IQ_NF_DLPM,-6.972,1.472,0.5,
RX_B8_PRX,InputPowerLoss,-0.361,3.714,0.3,
RX_B8_DRX,IQ_Gain,-2.984,3.135,0.3,
RX_B8_DRX,IQ_NF,-5.582,2.641,0.5,
RX_B8_DRX,IQ_TX_IIP2,-12,12,3,
RX_B8_DRX,IQ_IIP3,-5.409,0.304,2.5,
RX_B8_DRX,IQ_IIP2,-2.445,15.349,3,
RX_B8_DRX,IQ_Gain_DLPM,-3.04,3.102,0.3,
RX_B8_DRX,IQ_NF_DLPM,-7.778,0.46,0.5,
RX_B8_DRX,InputPowerLoss,-0.161,3.971,0.3,
RX_B12_PRX,IQ_Gain,-3.383,2.958,0.3,1601
RX_B12_PRX,IQ_NF,-5.839,2.651,0.5,1613
RX_B12_PRX,IQ_TX_IIP2,-7,17,3,1615
RX_B12_PRX,IQ_IIP3,-4.553,3.754,2.5,1617
RX_B12_PRX,IQ_IIP2,-11.159,9.179,3,1619
RX_B12_PRX,IQ_Gain_DLPM,-2.812,3.522,0.3,1631
RX_B12_PRX,IQ_NF_DLPM,-5.394,3.071,0.5,1633
RX_B12_PRX,InputPowerLoss,-2,2,0.3,
RX_B12_DRX,IQ_Gain,-3.427,2.925,0.3,1607
RX_B12_DRX,IQ_NF,-3.675,4.772,0.5,1614
RX_B12_DRX,IQ_TX_IIP2,-12,12,3,1616
RX_B12_DRX,IQ_IIP3,-9.415,0.268,2.5,1618
RX_B12_DRX,IQ_IIP2,-28.006,-11.599,3,1620
RX_B12_DRX,IQ_Gain_DLPM,-3.204,3.13,0.3,1632
RX_B12_DRX,IQ_NF_DLPM,-3.937,4.518,0.5,1634
RX_B12_DRX,InputPowerLoss,1.421,5.579,0.3,
RX_B20_PRX,IQ_Gain,-3.329,2.909,0.3,1701
RX_B20_PRX,IQ_NF,-5.349,2.856,0.5,1713
RX_B20_PRX,IQ_TX_IIP2,-12,12,3,1715
RX_B20_PRX,IQ_IIP3,-1.636,7.294,2.5,1717
RX_B20_PRX,IQ_IIP2,-19.517,1.52,3,1719
RX_B20_PRX,IQ_Gain_DLPM,-2.71,3.522,0.3,1731
RX_B20_PRX,IQ_NF_DLPM,-6.533,1.919,0.5,1733
RX_B20_PRX,InputPowerLoss,-2.879,1.319,0.3,
RX_B20_DRX,IQ_Gain,-3.589,2.63,0.3,1707
RX_B20_DRX,IQ_NF,-4.596,3.644,0.5,1714
RX_B20_DRX,IQ_TX_IIP2,-12,12,3,1716
RX_B20_DRX,IQ_IIP3,-4.509,3.877,2.5,1718
RX_B20_DRX,IQ_IIP2,-21.307,-5.043,3,1720
RX_B20_DRX,IQ_Gain_DLPM,-2.428,3.813,0.3,1732
RX_B20_DRX,IQ_NF_DLPM,-4.636,3.536,0.5,1734
RX_B20_DRX,InputPowerLoss,0.13,4.36,0.3,
RX_B26_PRX,IQ_Gain,-3.06,3.128,0.3,1801
RX_B26_PRX,IQ_NF,-4.354,3.851,0.5,1813
RX_B26_PRX,IQ_TX_IIP2,-12,12,3,1815
RX_B26_PRX,IQ_IIP3,-6.994,1.309,2.5,1817
RX_B26_PRX,IQ_IIP2,-6.14,11.82,3,1819
RX_B26_PRX,IQ_Gain_DLPM,-3.28,2.908,0.3,1831
RX_B26_PRX,IQ_NF_DLPM,-4.601,3.847,0.5,1833
RX_B26_PRX,InputPowerLoss,-0.534,3.526,0.3,
RX_B26_DRX,IQ_Gain,-3.602,2.872,0.3,1807
RX_B26_DRX,IQ_NF,-3.678,4.837,0.5,1814
RX_B26_DRX,IQ_TX_IIP2,-12,12,3,1816
RX_B26_DRX,IQ_IIP3,-1.913,6.379,2.5,1818
RX_B26_DRX,IQ_IIP2,-26.532,-8.164,3,1820
RX_B26_DRX,IQ_Gain_DLPM,-3.303,3.174,0.3,1832
RX_B26_DRX,IQ_NF_DLPM,-3.643,4.869,0.5,1834
RX_B26_DRX,InputPowerLoss,1.326,5.619,0.3,
RX_B28_PRX,IQ_Gain,-3.392,2.921,0.3,
RX_B28_PRX,IQ_NF,-5.892,2.523,0.5,
RX_B28_PRX,IQ_TX_IIP2,-9,15,3,
RX_B28_PRX,IQ_IIP3,-6.409,0.232,2.5,
RX_B28_PRX,IQ_IIP2,-20.82,-4.777,3,
RX_B28_PRX,IQ_Gain_DLPM,-2.979,3.319,0.3,
RX_B28_PRX,IQ_NF_DLPM,-7.562,0.829,0.5,
RX_B28_PRX,InputPowerLoss,-1.036,3.098,0.3,
RX_B28_DRX,IQ_Gain,-3.25,3.105,0.3,
RX_B28_DRX,IQ_NF,-3.564,4.898,0.5,
RX_B28_DRX,IQ_TX_IIP2,-12,12,3,
RX_B28_DRX,IQ_IIP3,-5.694,1.171,2.5,
RX_B28_DRX,IQ_IIP2,-21.467,-4.383,3,
RX_B28_DRX,IQ_Gain_DLPM,-2.76,3.621,0.3,
RX_B28_DRX,IQ_NF_DLPM,-6.176,2.186,0.5,
RX_B28_DRX,InputPowerLoss,2.845,6.907,0.3,
RX_B34_PRX,IQ_Gain,-3.427,3.13,0.3,2001
RX_B34_PRX,IQ_NF,-4.049,4.361,0.5,2013
RX_B34_PRX,IQ_IIP3,-2.719,5.232,2.5,2017
RX_B34_PRX,IQ_IIP2,-12.718,3.556,3,2019
RX_B34_PRX,IQ_Gain_DLPM,-3.56,2.959,0.3,2031
RX_B34_PRX,IQ_NF_DLPM,-3.812,4.94,0.5,2033
RX_B34_PRX,InputPowerLoss,1.965,6.189,0.3,
RX_B34_DRX,IQ_Gain,-3.293,3.095,0.3,2007
RX_B34_DRX,IQ_NF,-3.472,4.879,0.5,2014
RX_B34_DRX,IQ_IIP3,-7.515,0.594,2.5,2018
RX_B34_DRX,IQ_IIP2,-13.928,3.14,3,2020
RX_B34_DRX,IQ_Gain_DLPM,-3.375,2.981,0.3,2032
RX_B34_DRX,IQ_NF_DLPM,-3.639,4.947,0.5,2034
RX_B34_DRX,InputPowerLoss,3.142,7.267,0.3,
RX_B39_PRX,IQ_Gain,-2.864,3.47,0.3,2101
RX_B39_PRX,IQ_NF,-3.662,4.578,0.5,2113
RX_B39_PRX,IQ_IIP3,-4.133,2.704,2.5,2117
RX_B39_PRX,IQ_IIP2,-13.479,2.649,3,2119
RX_B39_PRX,IQ_Gain_DLPM,-3.13,3.194,0.3,2131
RX_B39_PRX,IQ_NF_DLPM,-4.128,4.089,0.5,2133
RX_B39_PRX,InputPowerLoss,2.59,6.815,0.3,
RX_B39_DRX,IQ_Gain,-3.416,3.085,0.3,2107
RX_B39_DRX,IQ_NF,-6.501,2.282,0.5,2114
RX_B39_DRX,IQ_IIP3,-0.553,6.298,2.5,2118
RX_B39_DRX,IQ_IIP2,-14.717,-0.051,3,2120
RX_B39_DRX,IQ_Gain_DLPM,-3.502,2.977,0.3,2132
RX_B39_DRX,IQ_NF_DLPM,-6.322,2.387,0.5,2134
RX_B39_DRX,InputPowerLoss,-0.474,3.66,0.3,
RX_B40_PRX,IQ_Gain,-3.031,3.623,0.3,2201
RX_B40_PRX,IQ_NF,-4.901,3.895,0.5,2213
RX_B40_PRX,IQ_IIP3,-1,5.005,2.5,2217
RX_B40_PRX,IQ_IIP2,-15.007,-0.877,3,2219
RX_B40_PRX,IQ_Gain_DLPM,-3.321,3.321,0.3,2231
RX_B40_PRX,IQ_NF_DLPM,-4.855,3.719,0.5,2233
RX_B40_PRX,InputPowerLoss,1.361,6.08,0.3,
RX_B40_DRX,IQ_Gain,-3.347,2.947,0.3,2207
RX_B40_DRX,IQ_NF,-6.327,2.092,0.5,2214
RX_B40_DRX,IQ_IIP3,-1.461,5.149,2.5,2218
RX_B40_DRX,IQ_IIP2,-13.57,-0.432,3,2220
RX_B40_DRX,IQ_Gain_DLPM,-3.208,3.101,0.3,2232
RX_B40_DRX,IQ_NF_DLPM,-6.24,2.271,0.5,2234
RX_B40_DRX,InputPowerLoss,-0.073,4.197,0.3,
RX_B41_PRX,IQ_Gain,-3.158,3.544,0.3,2301
RX_B41_PRX,IQ_NF,-1.852,6.523,0.5,2313
RX_B41_PRX,IQ_IIP3,1.57,7.504,2.5,2317
RX_B41_PRX,IQ_IIP2,-7.505,6.983,3,2319
RX_B41_PRX,IQ_Gain_DLPM,-3.364,3.322,0.3,2331
RX_B41_PRX,IQ_NF_DLPM,-1.836,6.697,0.5,2333
RX_B41_PRX,InputPowerLoss,6.119,11.533,0.3,
RX_B41_DRX,IQ_Gain,-1.366,4.919,0.3,2307
RX_B41_DRX,IQ_NF,-4.573,3.849,0.5,2314
RX_B41_DRX,IQ_IIP3,-6.658,-0.333,2.5,2318
RX_B41_DRX,IQ_IIP2,-8.84,6.893,3,2320
RX_B41_DRX,IQ_Gain_DLPM,-5.176,1.142,0.3,2332
RX_B41_DRX,IQ_NF_DLPM,-7.05,1.417,0.5,2334
RX_B41_DRX,InputPowerLoss,0.859,5.074,0.3,
RX_B2_SWHB,IQ_Gain,-3.155,3.122,0.3,2401
RX_B2_SWHB,IQ_NF,-1.755,6.814,0.5,2407
RX_B2_SWHB,IQ_IIP3,1.784,8.252,2.5,2408
RX_B2_SWHB,IQ_GainStep_Gain,-3.115,3.152,0.3,2412
RX_B2_SWHB,InputPowerLoss,4.145,8.223,0.3,
RX_B8_SWLB,IQ_Gain,-3.32,2.863,0.3,2501
RX_B8_SWLB,IQ_NF,-6.967,1.555,0.5,2507
RX_B8_SWLB,IQ_IIP3,3.894,12.479,2.5,2508
RX_B8_SWLB,IQ_GainStep_Gain,-2.957,3.213,0.3,2512
RX_B8_SWLB,InputPowerLoss,-3.048,1.007,0.3,
RX_B62_PRX,IQ_Gain,-3.128,3.184,0.3,5021
RX_B62_PRX,IQ_NF,-5.766,2.437,0.5,5033
RX_B62_PRX,InputPowerLoss,-1.291,2.96,0.3,
RX_B62_DRX,IQ_Gain,-3.087,3.41,0.3,5027
RX_B62_DRX,IQ_NF,-5.746,2.66,0.5,5034
RX_B62_DRX,InputPowerLoss,-1.462,2.76,0.3,
TX_B1,TXDET_DNL_V1,-7.71,-1.578,0.3,3022
TX_B1,TX_P1_RF,0.256,6.735,0.3,3082
TX_B1,TX_P1_IQ,-7.84,-1.08,0.3,3151
TX_B1,G1_ChannelPower,0.336,6.817,0.5,3186
TX_B1,G1_ACLR_p10MHz,-3.087,3.366,0.5,3187
TX_B1,G1_ACLR_m10MHz,-3.497,3.005,0.5,3188
TX_B1,G1_ACLR_p7p5MHz,-3.036,3.426,0.5,3189
TX_B1,G1_ACLR_m7p5MHz,-3.252,3.284,0.5,3190
TX_B1,G2_ChannelPower,0.146,6.627,0.5,
TX_B1,G2_ACLR_p10MHz,-2.657,3.746,0.5,
TX_B1,G2_ACLR_m10MHz,-3.65,2.857,0.5,
TX_B1,G2_ACLR_p7p5MHz,-2.363,4.021,0.5,
TX_B1,G2_ACLR_m7p5MHz,-3.325,3.143,0.5,
TX_B1,G3_ChannelPower,-0.088,6.44,0.5,
TX_B1,G3_ACLR_p10MHz,-2.211,4.277,0.5,
TX_B1,G3_ACLR_m10MHz,-3.292,3.164,0.5,
TX_B1,G3_ACLR_p7p5MHz,-2.143,4.343,0.5,
TX_B1,G3_ACLR_m7p5MHz,-3.171,3.256,0.5,
TX_B1,G4_ChannelPower,-0.111,6.409,0.5,3219
TX_B1,G4_ACLR_p10MHz,0.05,6.496,0.5,3220
TX_B1,G4_ACLR_m10MHz,-1.245,6.196,0.5,3221
TX_B1,G4_ACLR_p7p5MHz,-0.315,6.132,0.5,3222
TX_B1,G4_ACLR_m7p5MHz,-1.55,5.868,0.5,3223
TX_B7,TXDET_DNL_V1,-6.245,-0.102,0.3,3420
TX_B7,TX_P1_RF,1.012,7.651,0.3,3485
TX_B7,TX_P1_IQ,-7.558,-0.948,0.3,3554
TX_B7,G1_ChannelPower,1.085,7.883,0.5,3589
TX_B7,G1_ACLR_p10MHz,-3.971,2.725,0.5,3590
TX_B7,G1_ACLR_m10MHz,-4.798,2.306,0.5,3591
TX_B7,G1_ACLR_p7p5MHz,-3.845,2.821,0.5,3592
TX_B7,G1_ACLR_m7p5MHz,-4.665,2.458,0.5,3593
TX_B7,G2_ChannelPower,1.069,7.903,0.5,
TX_B7,G2_ACLR_p10MHz,-3.528,2.987,0.5,
TX_B7,G2_ACLR_m10MHz,-4.326,2.614,0.5,
TX_B7,G2_ACLR_p7p5MHz,-3.269,3.206,0.5,
TX_B7,G2_ACLR_m7p5MHz,-4.045,2.907,0.5,
TX_B7,G3_ChannelPower,0.861,7.524,0.5,
TX_B7,G3_ACLR_p10MHz,-2.547,3.911,0.5,
TX_B7,G3_ACLR_m10MHz,-3.521,3.054,0.5,
TX_B7,G3_ACLR_p7p5MHz,-2.479,4.039,0.5,
TX_B7,G3_ACLR_m7p5MHz,-3.308,3.215,0.5,
TX_B7,G4_ChannelPower,0.868,7.535,0.5,
TX_B7,G4_ACLR_p10MHz,0.306,6.786,0.5,
TX_B7,G4_ACLR_m10MHz,-1.197,5.447,0.5,
TX_B7,G4_ACLR_p7p5MHz,-0.117,6.462,0.5,
TX_B7,G4_ACLR_m7p5MHz,-1.426,5.106,0.5,
TX_B8,TXDET_DNL_V1,-8.09,-1.962,0.3,3920
TX_B8,TX_P1_RF,0.555,7.047,0.3,3985
TX_B8,TX_P1_IQ,-7.127,-0.642,0.3,4054
TX_B8,G1_ChannelPower,0.73,7.184,0.5,4089
TX_B8,G1_ACLR_p10MHz,-3.244,5.032,0.5,4090
TX_B8,G1_ACLR_m10MHz,-3.595,4.688,0.5,4091
TX_B8,G1_ACLR_p7p5MHz,-3.143,5.138,0.5,4092
TX_B8,G1_ACLR_m7p5MHz,-3.377,4.887,0.5,4093
TX_B8,G2_ChannelPower,0.685,7.153,0.5,
TX_B8,G2_ACLR_p10MHz,-3.603,4.645,0.5,
TX_B8,G2_ACLR_m10MHz,-4.421,3.849,0.5,
TX_B8,G2_ACLR_p7p5MHz,-3.539,4.712,0.5,
TX_B8,G2_ACLR_m7p5MHz,-4.271,3.983,0.5,
TX_B8,G3_ChannelPower,0.68,7.181,0.5,
TX_B8,G3_ACLR_p10MHz,-3.709,4.563,0.5,
TX_B8,G3_ACLR_m10MHz,-4.56,3.717,0.5,
TX_B8,G3_ACLR_p7p5MHz,-3.807,4.458,0.5,
TX_B8,G3_ACLR_m7p5MHz,-4.654,3.62,0.5,
TX_B8,G4_ChannelPower,0.835,7.265,0.5,4122
TX_B8,G4_ACLR_p10MHz,0.693,8.954,0.5,4123
TX_B8,G4_ACLR_m10MHz,0.572,8.884,0.5,4124
TX_B8,G4_ACLR_p7p5MHz,0.04,8.296,0.5,4125
TX_B8,G4_ACLR_m7p5MHz,-0.076,8.235,0.5,4126
TX_B8,G5_ChannelPower,0.733,7.164,0.5,4133
TX_B8,G5_ACLR_p10MHz,15.145,21.309,0.5,4134
TX_B8,G5_ACLR_m10MHz,13.999,20.237,0.5,4135
TX_B8,G5_ACLR_p7p5MHz,14.818,21.002,0.5,4136
TX_B8,G5_ACLR_m7p5MHz,12.835,20.083,0.5,4137
TX_B13,TXDET_DNL_V1,-8.079,-1.954,0.3,4320
TX_B13,TX_P1_RF,0.794,7.128,0.3,4385
TX_B13,TX_P1_IQ,-7.477,-1.105,0.3,4454
TX_B13,G1_ChannelPower,1.157,7.421,0.5,4489
TX_B13,G1_ACLR_p10MHz,-6.04,0.29,0.5,4490
TX_B13,G1_ACLR_m10MHz,-4.785,1.514,0.5,4491
TX_B13,G1_ACLR_p7p5MHz,-6.262,0.079,0.5,4492
TX_B13,G1_ACLR_m7p5MHz,-4.851,1.467,0.5,4493
TX_B13,G2_ChannelPower,0.99,7.248,0.5,
TX_B13,G2_ACLR_p10MHz,-2.765,3.54,0.5,
TX_B13,G2_ACLR_m10MHz,-4.152,2.158,0.5,
TX_B13,G2_ACLR_p7p5MHz,-3.182,3.133,0.5,
TX_B13,G2_ACLR_m7p5MHz,-4.223,2.087,0.5,
TX_B13,G3_ChannelPower,1.155,7.452,0.5,
TX_B13,G3_ACLR_p10MHz,1.52,7.866,0.5,
TX_B13,G3_ACLR_m10MHz,-0.405,6.003,0.5,
TX_B13,G3_ACLR_p7p5MHz,0.788,7.146,0.5,
TX_B13,G3_ACLR_m7p5MHz,-0.638,5.784,0.5,
TX_B13,G4_ChannelPower,0.991,7.283,0.5,
TX_B13,G4_ACLR_p10MHz,8.794,15.056,0.5,
TX_B13,G4_ACLR_m10MHz,7.436,13.754,0.5,
TX_B13,G4_ACLR_p7p5MHz,7.977,14.262,0.5,
TX_B13,G4_ACLR_m7p5MHz,6.945,13.275,0.5,
TX_B13,PS,2.464,8.702,0.5,4533
TX_B13,IM3,8.429,15.729,0.5,4534
TX_B39,G1_ChannelPower,1.537,7.954,0.5,3301
TX_B39,G1_ACLR_p10MHz,-2.247,4.134,0.5,3302
TX_B39,G1_ACLR_m10MHz,-3.131,3.258,0.5,3303
TX_B39,G1_ACLR_p7p5MHz,-5.076,1.299,0.5,3304
TX_B39,G1_ACLR_m7p5MHz,-5.63,0.76,0.5,3305
TX_B40,G1_ChannelPower,0,6,0.5,
TX_B40,G1_ACLR_p10MHz,-5,5,0.5,
TX_B40,G1_ACLR_m10MHz,-5,5,0.5,
TX_B40,G1_ACLR_p7p5MHz,-5,5,0.5,
TX_B40,G1_ACLR_m7p5MHz,-5,5,0.5,
TX_B41,PS,0.383,6.856,0.5,3801
TX_B41,IM3,-0.717,6.538,0.5,3802
TX_B44,G1_ChannelPower,1.248,7.645,0.5,4601
TX_B44,G1_ACLR_p10MHz,-4.279,4.996,0.5,4602
TX_B44,G1_ACLR_m10MHz,-4.955,4.376,0.5,4603
TX_B44,G1_ACLR_p7p5MHz,-8.085,1.177,0.5,4604
TX_B44,G1_ACLR_m7p5MHz,-8.334,0.981,0.5,4605
TX_B62,G1_ChannelPower,1.769,8.212,0.5,5001
TX_B62,G1_ACLR_p10MHz,-2.243,4.005,0.5,5002
TX_B62,G1_ACLR_m10MHz,-2.903,3.366,0.5,5003
TX_B62,G1_ACLR_p7p5MHz,-2.104,4.144,0.5,5004
TX_B62,G1_ACLR_m7p5MHz,-2.71,3.542,0.5,5005
TX_GMS850,Power,-0.462,5.855,0.5,4701
TX_GMS1900,Power,0.655,7.116,0.5,4801
TX_GSM1900_1M,Power,-3.487,2.803,0.5,4901
TX_GSM1900_9M,Power,-3.623,2.658,0.5,4902
TX_B40_CCA,G9_ChannelPower,1.225,7.643,0.5,6143
TX_B40_CCA,G9_ACLR_E_UP,-3.036,3.846,0.5,6153
TX_B40_CCA,G9_ACLR_E_LOW,-4.054,2.947,0.5,6149
TX_B40_CCA,G9_ACLR1_UP,-4.104,2.948,0.5,6151
TX_B40_CCA,G9_ACLR1_LOW,-4.726,2.127,0.5,6147
TX_EPSK,PS_LB,3.095,9.664,0.5,6166
TX_EPSK,PC_LB,-20,20,0.5,6167
TX_EPSK,CL_LB,-8.837,5.964,0.5,6168
TX_EPSK,PS_MB,2.351,8.722,0.5,6178
TX_EPSK,PC_MB,-20,20,0.5,6179
TX_EPSK,CL_MB,-10.216,4.373,0.5,6180
